Brad,Hopfinger,2018,,,,,
Brad,Kennedy,2010,,,,,
Brad,Kennedy,2011,,,,,
Brad,Kennedy,2012,,,,38000.0,
Brad,Kennedy,2013,,,,,
Brad,Kennedy,2014,,,,,
Brad,Kennedy,2015,,,,,
Brad,Kennedy,2016,,,,,
Brad,Kennedy,2017,,,,,
Brad,Kennedy,2018,,,,,
Brad,Lardon,2011,,,,,
Brad,Lardon,2014,,,,,
Brad,Lardon,2016,,,,,
Brad,Miller,2015,,,,,
Brad,Miller,2017,,,,,
Brad,Moules,2016,,,,,
Brad,Ott,2016,,,,,
Brad,Shilton,2012,,,,,
Brad,Shilton,2013,,,,,
Brad,Shilton,2016,,,,,
Brad,Sill,2017,,,,,
Braden,Thornberry,2017,1.0,2.0,,,0.5
Braden,Thornberry,2018,,,,,
Bradford,Vaughan,2010,,,,,
Bradford,Vaughan,2011,,,,,
Bradford,Vaughan,2012,,,,,
Bradford,Vaughan,2013,,,,,
Bradley,Dredge,2010,,,,48000.0,
Bradley,Dredge,2011,,,,,
Bradley,Dredge,2012,,,,,
Bradley,Dredge,2013,,,,,
Bradley,Dredge,2014,,,,,
Bradley,Dredge,2015,,,,,
Bradley,Dredge,2016,,,,16900.0,
Bradley,Dredge,2017,,,,86500.0,
Bradley,Dredge,2018,,,,,
Bradley,Iles,2010,,,,,
Bradley,Iles,2011,,,,,
Bradley,Neil,2014,,,,,
Bradley,Neil,2015,,,,,
Bradley,Neil,2017,,,,,
Bradley,Neil,2018,,,,,
Bradley,Smith,2010,,,,,
Bradley,Smith,2011,,,,,
Brady,Schnell,2011,,,,,
Brady,Schnell,2014,,,,,
Brady,Schnell,2015,,,,,
Brady,Schnell,2016,,,,,
Brady,Schnell,2017,,,,,
Brady,Schnell,2018,,,,,
Brady,Stockton,2010,,,,,
Brady,Stockton,2011,,,,,
Brady,Watt,2012,,,,,
Brady,Watt,2014,,,,61288.0,
Brady,Watt,2015,,,,,
Branden,Grace,2010,,,,,
Branden,Grace,2011,,,,,
Branden,Grace,2012,,,,237825.0,
Branden,Grace,2013,,,,313759.0,
Branden,Grace,2014,,,,402368.0,
Branden,Grace,2015,4.0,13.0,,1761660.0,0.3076923076923077
Branden,Grace,2016,6.0,18.0,70.78,2953868.0,0.3333333333333333
Branden,Grace,2017,2.0,20.0,71.05,1315054.0,0.1
Branden,Grace,2018,2.0,18.0,70.55,1529289.0,0.1111111111111111
Brandon,Brown,2012,,,,6480.0,
Brandon,Brown,2013,,,,,
Brandon,Crick,2013,,,,,
